,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage,MasVnrArea,GarageYrBlt,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,GarageType,GarageFinish,GarageQual,GarageCond,SalePrice
12,4,3,824,1,1,3,0,4,0,19,2,2,0,2,4,5,62,12,3,0,6,9,1,4,1,451,0,208,577,1,4,1,613,0,0,729,1,0,1,0,2,1,1,6,6,0,1,82,2,28,0,0,0,27,0,0,11,2,8,4,77,0,48,2,3,3,3,0,5,4,5,2,4,4,144000
13,4,3,636,1,0,3,0,4,0,5,2,2,0,2,6,4,106,57,1,0,12,12,2,4,2,0,0,153,269,1,0,1,291,0,0,284,0,0,2,0,3,1,2,9,6,1,3,356,2,44,118,0,0,0,0,0,10,1,6,5,98,154,92,3,2,3,0,5,5,4,1,1,4,4,279500
14,4,3,666,1,0,3,0,0,0,12,2,2,0,2,5,4,60,10,3,0,8,8,1,4,1,448,0,461,157,1,4,1,178,0,0,146,1,0,1,1,2,1,1,7,6,1,1,82,2,0,81,35,0,0,0,0,7,2,8,4,77,89,46,1,3,3,3,1,5,4,1,1,4,4,157000
15,7,4,162,1,3,3,0,0,0,3,2,2,0,1,6,7,32,51,1,0,13,13,1,4,0,0,0,648,533,1,0,1,573,0,0,706,0,0,1,0,2,1,1,7,6,0,2,245,2,202,13,0,0,0,0,0,9,1,8,4,57,0,77,2,3,3,3,5,5,0,5,2,4,4,132000
16,4,3,700,1,0,3,0,1,0,12,2,2,0,2,5,6,70,20,1,0,13,13,1,4,1,355,0,403,4,1,0,1,3,0,0,2,1,0,1,0,2,1,1,7,6,1,2,172,2,0,0,0,0,0,0,18,5,4,8,4,77,70,56,1,3,3,3,0,5,4,1,0,4,4,149000
17,14,3,655,1,3,3,0,4,0,19,2,2,2,2,3,4,67,17,1,0,8,8,1,4,3,0,0,0,0,1,4,1,202,0,0,168,0,0,2,0,2,2,1,8,6,0,2,202,2,0,0,0,0,0,0,13,1,0,8,4,79,0,53,2,3,3,3,5,5,4,4,2,4,4,90000
18,4,3,858,1,3,3,0,4,0,20,5,2,0,2,4,4,104,54,1,0,12,12,1,4,2,398,0,432,76,1,0,1,82,0,0,60,1,0,1,1,3,1,2,8,6,0,2,245,2,0,4,0,0,0,0,0,8,2,8,4,72,0,90,2,3,3,3,2,5,4,5,2,4,4,159000
19,4,3,255,1,3,3,0,4,0,12,2,2,0,2,4,5,58,15,3,0,3,9,1,4,1,304,0,464,20,1,4,1,226,0,0,191,0,0,1,0,3,1,1,8,2,0,1,52,2,0,0,0,0,0,0,0,7,3,0,0,76,0,44,2,3,3,3,3,5,4,1,2,4,4,139000
21,7,4,249,1,3,0,0,4,0,9,2,2,0,1,6,6,33,0,1,0,13,13,1,4,2,0,0,525,424,1,0,1,78,0,0,54,0,0,1,0,3,1,2,8,6,1,1,42,0,0,0,51,0,0,0,0,8,1,8,4,63,0,18,2,3,3,3,5,5,1,1,2,4,4,139400
22,4,3,522,1,3,3,0,4,0,5,2,2,0,2,7,4,102,52,3,0,12,12,2,4,2,0,0,212,352,1,0,1,410,0,0,459,0,0,2,0,3,1,2,9,6,1,2,217,2,52,48,0,0,0,0,0,11,2,8,4,82,135,88,1,2,3,3,5,5,4,1,1,4,4,230000
23,0,4,96,1,3,3,0,4,0,10,2,2,4,2,4,6,76,26,1,0,5,5,1,4,2,506,0,233,24,1,4,1,41,0,0,27,1,0,1,0,3,1,1,8,6,1,2,241,2,1,11,0,0,0,0,0,8,1,8,4,50,0,62,2,2,3,3,2,5,4,1,2,4,4,129900
24,4,3,327,1,0,3,0,4,0,19,2,2,0,2,4,7,68,51,1,0,9,9,1,2,1,112,120,236,39,1,0,1,41,0,0,27,1,0,1,0,3,1,2,8,6,1,1,37,2,184,175,0,0,0,0,0,7,4,8,4,77,0,54,2,3,3,2,4,0,4,1,2,4,4,154000
25,4,3,879,1,3,3,0,0,0,16,2,2,0,2,7,4,107,57,1,0,12,12,2,4,2,0,0,171,296,1,0,1,343,0,0,350,0,0,2,0,3,1,2,9,6,1,3,374,2,0,145,0,0,0,0,0,9,3,8,4,9,243,93,3,2,3,3,5,5,4,1,1,4,4,256300
26,4,3,226,1,3,3,0,0,0,12,2,2,0,2,4,6,51,50,1,0,13,13,1,4,1,139,93,216,571,1,4,1,604,0,0,723,0,1,1,0,3,1,2,7,6,0,2,245,2,90,117,0,0,0,0,0,7,4,8,4,66,0,91,2,3,3,2,1,4,4,5,2,4,4,134800
28,4,3,919,1,0,3,0,1,0,12,2,2,0,2,4,5,57,47,1,0,8,8,1,4,1,67,0,238,263,1,4,1,343,0,0,350,1,0,1,0,2,1,1,8,6,2,1,67,2,127,100,0,0,0,0,0,3,0,8,4,53,0,43,2,3,3,1,1,5,4,1,1,4,4,207500
29,5,4,174,1,0,3,0,4,0,3,1,5,0,2,3,5,30,0,1,0,8,8,1,4,0,0,0,461,390,1,1,0,447,0,0,663,0,0,1,0,1,1,0,6,6,0,1,25,2,204,0,110,0,0,0,0,7,2,8,4,66,0,8,2,3,3,3,5,5,4,5,2,1,4,68500
30,10,0,358,1,3,3,0,4,0,9,1,2,0,5,3,3,23,0,2,0,3,3,1,1,0,0,0,531,428,1,4,0,467,199,0,180,0,0,1,0,3,1,1,8,6,0,1,29,0,0,142,33,0,0,0,0,9,2,8,4,56,0,8,2,3,3,3,5,5,4,5,2,4,1,40000
31,4,3,366,1,0,3,0,1,0,19,2,2,0,2,4,5,66,56,1,0,6,6,1,4,1,0,0,80,142,1,2,1,163,0,0,129,0,0,1,1,3,1,2,8,6,0,1,38,2,0,154,0,0,0,0,0,8,2,8,4,77,0,52,2,3,3,3,5,5,4,1,2,4,4,149350
32,4,3,678,1,3,3,0,0,0,5,2,2,0,2,7,4,107,57,1,0,12,12,2,4,2,0,0,82,144,1,0,1,166,0,0,133,0,0,2,0,3,1,2,9,6,0,2,176,2,0,113,0,0,0,0,0,0,2,8,4,92,0,93,2,0,3,0,5,5,4,1,1,4,4,179900
33,4,3,622,1,0,3,0,4,0,12,2,2,0,2,4,4,59,9,3,0,3,3,1,4,1,8,0,367,230,1,2,1,388,0,0,414,0,1,1,1,4,1,2,8,6,1,2,144,2,0,123,0,0,0,0,0,6,4,8,4,76,0,45,2,3,3,3,4,5,4,1,1,4,4,165500
34,0,3,235,1,3,3,0,4,0,16,2,2,4,2,8,4,105,55,3,0,8,8,3,4,2,40,0,388,293,1,0,1,325,0,0,328,1,0,2,0,2,1,3,8,6,1,2,232,2,78,134,0,0,0,0,0,10,1,8,4,66,112,91,1,0,3,3,2,5,4,1,0,4,4,277500
36,4,3,661,1,3,3,0,0,0,5,2,2,0,2,4,4,94,45,1,0,12,12,1,4,2,0,0,42,63,1,0,1,70,0,0,48,0,0,1,1,3,1,1,8,6,0,2,301,2,179,153,0,0,0,0,0,8,3,8,4,10,0,81,2,2,3,3,5,5,4,1,2,4,4,145000
37,4,3,364,1,3,3,0,4,0,12,2,2,0,2,4,5,54,40,3,0,13,13,1,4,1,55,0,651,183,1,2,1,203,0,0,169,0,1,1,0,3,1,1,7,6,1,2,186,2,0,0,0,0,0,0,0,1,3,8,4,81,245,40,1,3,3,3,4,5,4,1,0,4,4,153000
38,4,3,291,1,3,3,0,4,0,12,2,2,0,2,4,6,53,57,1,0,12,12,1,2,1,446,0,329,36,1,4,1,39,0,0,26,1,0,1,0,3,1,2,7,6,0,1,27,2,0,139,0,0,0,0,0,0,4,8,0,74,0,39,2,3,3,3,2,5,4,5,2,4,4,109000
39,14,3,160,1,3,3,0,4,0,7,2,2,2,2,3,4,55,5,1,0,0,9,1,4,2,0,0,0,0,1,4,0,111,0,0,88,0,0,2,0,2,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,8,2,8,1,71,0,66,2,3,3,3,5,5,2,1,2,4,4,82000
40,4,3,375,1,3,3,0,4,0,12,2,2,0,2,5,4,65,15,1,0,13,13,1,4,1,395,0,415,57,1,0,1,218,0,0,184,0,0,2,0,3,1,1,8,6,1,2,139,2,0,35,0,0,0,0,0,3,0,8,0,91,3,51,1,3,3,3,4,5,4,1,1,4,4,160000
41,4,3,930,1,3,3,0,4,0,23,2,2,0,2,4,5,59,9,1,0,12,12,1,2,1,552,0,369,207,1,2,1,220,0,0,186,0,1,1,1,2,1,1,7,6,2,1,62,1,0,6,0,0,0,0,0,9,1,8,4,12,0,45,2,3,3,1,1,5,4,1,1,4,4,170000
42,13,3,453,1,0,3,0,1,0,20,2,2,0,6,4,6,83,33,1,0,6,6,1,4,1,457,138,0,537,1,2,1,592,0,0,717,1,0,1,0,2,1,2,7,6,0,2,191,2,103,0,0,0,0,0,0,3,1,8,4,77,0,69,2,2,3,0,0,3,4,1,1,4,2,144000
43,4,3,456,1,0,3,0,1,0,5,2,2,0,2,4,5,75,30,3,0,12,12,1,4,1,162,94,193,594,1,4,1,632,0,0,741,1,0,1,0,3,1,1,7,6,0,1,62,2,33,0,0,0,0,0,0,9,2,8,4,77,0,63,2,2,3,0,3,1,4,5,2,4,4,130250
44,4,3,296,1,3,3,0,4,0,12,2,2,0,2,4,5,59,9,1,0,3,13,1,4,1,107,99,429,98,1,0,1,110,0,0,87,1,0,1,0,3,1,1,8,6,0,1,56,2,0,0,0,0,0,0,0,7,0,8,4,76,0,45,2,3,3,3,0,1,0,1,1,4,4,141000
46,8,3,819,1,0,3,0,1,0,11,2,2,0,0,6,4,103,53,1,0,12,12,2,4,2,80,0,646,244,1,0,1,304,184,0,582,1,0,1,1,1,1,2,8,6,1,2,299,2,49,130,0,0,37,0,0,10,3,8,0,54,0,89,2,0,3,3,2,5,4,1,1,4,4,239686
47,4,1,682,1,3,3,0,4,0,21,2,2,0,2,7,4,106,56,1,0,12,12,2,4,2,142,0,187,329,1,0,1,368,0,0,384,0,0,2,0,3,1,2,9,6,0,3,350,2,0,39,0,0,0,0,0,9,1,8,4,91,0,92,2,2,3,0,2,5,4,1,1,4,4,249700
48,3,4,109,1,3,3,0,4,0,17,2,2,1,5,3,4,23,58,1,0,8,8,1,4,0,0,0,584,476,1,2,1,500,228,0,257,0,0,2,0,2,3,1,10,6,0,0,0,0,0,0,2,0,0,0,0,8,3,6,5,39,0,66,2,3,3,3,5,5,4,1,2,4,4,113000
49,4,3,271,1,3,3,0,4,0,19,2,2,0,2,4,6,66,16,1,0,6,6,1,4,1,465,0,227,608,1,0,1,644,0,0,749,1,0,1,0,3,1,1,8,6,0,1,98,2,0,0,0,0,0,0,0,0,1,8,4,72,0,52,2,3,3,3,1,5,4,1,2,4,4,127000
50,9,3,867,1,1,3,0,0,0,8,2,2,0,5,5,5,97,47,1,0,12,12,1,4,2,109,0,513,507,1,2,1,534,202,0,266,0,1,2,0,3,1,1,8,6,0,2,99,2,0,162,0,0,0,0,0,9,1,8,4,77,0,83,2,2,3,0,2,5,4,1,0,4,4,177000
51,8,4,169,1,3,3,0,4,0,3,2,2,0,0,5,5,36,0,1,0,13,13,1,4,2,0,0,642,524,1,4,1,551,0,7,99,0,0,1,0,3,1,1,8,6,1,2,211,2,8,0,0,0,0,0,10,11,0,8,4,58,0,71,2,3,3,3,5,5,4,5,2,4,4,114500
52,14,4,353,0,1,0,0,0,1,9,8,2,2,2,4,4,63,13,1,0,13,13,0,4,1,12,126,0,524,1,4,0,551,0,0,695,1,0,1,0,2,1,1,7,6,0,2,202,2,5,0,0,0,0,0,0,7,4,8,4,9,0,49,2,2,3,1,3,2,4,4,2,4,4,110000
54,12,3,219,1,3,0,0,4,1,12,2,2,0,7,4,4,55,5,1,0,8,8,1,4,1,229,0,0,378,1,4,1,235,0,0,205,0,0,1,0,3,1,1,8,2,1,2,241,2,0,137,0,0,0,0,0,4,1,8,4,66,0,48,2,3,3,3,0,5,4,5,2,4,4,130000
55,4,3,576,1,0,3,0,4,0,12,2,2,0,2,5,4,64,14,1,0,6,9,1,4,1,296,0,700,240,1,2,1,262,0,0,242,0,0,2,0,3,1,1,9,6,1,2,245,2,0,0,0,15,0,0,0,9,2,8,4,0,129,50,1,3,3,3,1,5,4,1,1,4,4,180500
56,1,1,57,1,3,3,0,4,0,21,2,2,3,5,7,4,99,50,1,0,8,8,2,4,2,400,0,325,619,1,0,1,667,250,0,435,1,0,2,1,3,1,2,9,6,0,2,172,2,11,0,0,0,0,0,0,10,3,8,0,35,210,85,1,2,3,3,2,5,4,1,0,4,4,172500
57,9,3,738,1,0,3,0,0,0,5,2,2,0,5,6,4,104,54,1,0,12,12,2,4,2,0,0,660,550,1,0,1,578,304,0,426,0,0,2,1,3,1,2,9,6,0,2,237,2,0,158,0,0,0,0,0,10,0,8,4,96,0,90,2,2,3,3,5,5,4,1,1,4,4,196500
59,4,3,226,1,3,0,0,4,0,5,2,2,0,2,4,6,72,22,1,0,6,6,1,4,1,389,0,148,499,1,0,1,525,0,0,684,0,0,1,0,2,1,1,6,6,0,1,82,2,71,0,0,0,0,0,0,0,2,8,4,66,0,59,2,3,3,0,0,5,4,5,2,4,4,124900
60,4,3,831,1,3,3,0,4,0,20,5,2,0,2,5,4,104,54,1,0,12,12,1,4,2,546,0,243,105,1,0,1,116,0,0,91,1,0,1,1,3,1,2,7,6,0,2,245,2,0,137,0,0,0,0,0,7,0,6,5,69,0,92,2,2,3,3,0,5,4,5,2,4,4,158000
61,11,4,226,1,3,3,0,4,0,9,2,2,0,4,4,6,23,46,1,0,8,8,1,4,0,0,0,466,393,1,4,0,457,137,0,57,0,0,1,0,3,1,0,8,6,0,1,49,0,0,0,21,0,0,0,0,5,1,8,4,66,0,23,2,3,0,3,5,5,4,5,2,4,4,101000
62,0,3,181,1,0,3,0,4,0,16,2,2,4,2,7,4,106,56,1,0,12,12,2,4,2,142,0,112,217,1,0,1,241,0,0,213,0,0,2,0,2,1,2,8,6,1,2,176,2,15,136,0,0,0,0,0,1,1,8,4,50,68,92,3,2,1,2,2,5,4,1,1,4,4,202500
63,10,4,595,1,0,0,0,4,0,17,6,1,0,5,6,5,24,0,1,0,11,11,1,4,0,0,0,493,407,1,2,1,606,278,0,419,0,0,2,0,3,1,1,11,6,0,2,172,2,14,10,102,0,0,0,0,6,4,8,4,56,0,76,2,3,3,3,5,5,4,5,2,4,4,140000
64,9,3,482,1,3,3,0,4,0,5,2,2,0,5,6,4,97,48,1,0,12,12,1,4,2,453,0,321,36,1,0,1,39,359,0,551,1,0,2,1,3,1,2,10,6,0,2,287,2,215,122,0,0,0,0,0,4,3,8,4,77,234,84,1,2,3,3,2,5,4,1,1,4,4,219500
66,4,3,953,1,3,3,0,4,0,12,3,2,0,2,6,4,70,39,1,0,9,9,1,4,1,534,0,15,362,1,4,1,434,0,0,595,1,0,2,0,3,1,1,9,2,1,2,245,2,137,0,0,0,0,0,0,9,4,8,4,77,138,56,1,2,3,1,2,5,4,1,1,4,4,180000
67,4,3,640,1,0,3,0,4,0,5,2,2,0,2,6,4,103,53,1,0,12,12,2,4,2,5,0,412,249,1,0,1,285,0,0,275,1,0,2,0,3,1,2,9,6,0,2,233,2,32,111,0,0,0,0,0,8,1,8,4,79,59,89,1,2,3,0,2,5,4,1,1,4,4,226000
68,5,4,113,1,3,3,0,0,0,17,0,2,0,2,3,5,45,0,1,0,8,8,1,2,1,0,0,592,483,1,4,1,504,0,0,675,0,0,1,0,2,1,1,6,6,0,1,20,2,0,0,0,0,0,0,0,8,4,8,4,53,0,31,2,3,3,3,5,5,4,1,2,4,4,80000
69,8,3,906,1,3,3,0,0,0,4,2,2,0,0,6,3,53,3,1,0,3,0,2,4,1,368,0,559,188,2,4,1,208,363,0,611,0,0,2,0,3,1,1,9,6,1,2,297,2,0,78,6,0,0,0,0,9,0,8,4,88,0,39,2,3,3,3,1,5,4,1,0,4,4,225000
70,4,3,855,1,0,3,0,4,0,12,2,2,0,2,6,5,73,23,1,0,9,9,1,2,1,113,0,339,369,1,0,1,436,0,0,598,1,0,2,0,3,1,1,10,6,2,2,202,2,136,0,0,0,0,0,0,4,1,8,4,102,13,59,1,2,3,1,0,5,4,1,0,4,4,244000
71,4,3,261,1,3,3,0,0,0,11,2,2,0,2,3,5,82,56,1,0,6,9,1,4,1,346,0,289,540,1,4,1,567,0,0,704,1,0,1,0,2,1,1,6,6,0,2,85,2,0,0,0,0,0,0,0,8,1,8,4,75,0,73,2,3,3,3,0,5,4,5,2,4,4,129500
72,9,3,571,1,0,3,0,0,0,8,2,2,0,5,6,4,98,48,1,0,12,12,1,4,2,0,0,648,533,1,2,1,593,289,0,425,0,0,2,1,3,1,1,9,6,1,2,127,2,0,179,0,0,56,0,0,3,3,8,4,81,190,84,1,2,3,3,5,5,4,1,0,4,4,185000
73,4,3,581,1,3,3,0,4,0,12,2,2,0,2,4,6,54,53,1,0,13,13,1,4,1,186,71,385,56,1,2,1,61,0,0,41,1,0,1,0,3,1,1,8,6,0,2,179,2,0,0,0,0,0,0,0,7,4,8,4,92,5,75,1,3,3,3,0,1,4,1,2,4,4,144900
74,8,4,151,1,3,3,0,0,0,17,2,2,0,5,2,5,18,0,2,0,12,12,2,2,1,0,0,652,537,1,2,0,564,253,0,355,0,0,2,0,3,2,1,10,6,0,1,95,2,0,0,50,0,0,0,0,7,4,8,4,66,0,5,2,1,3,3,5,5,4,5,2,4,4,107400
75,2,4,31,1,3,3,0,4,0,10,2,2,3,7,3,4,73,23,1,0,5,5,1,4,1,282,0,0,383,1,4,1,449,115,0,765,1,0,1,0,2,1,1,7,6,0,1,54,2,15,3,0,0,0,0,0,2,3,8,4,34,0,59,2,2,3,1,2,5,4,3,2,4,4,91000
76,4,3,354,1,0,3,0,4,0,12,2,2,0,2,3,6,56,6,1,0,12,12,1,4,1,137,0,575,605,1,0,1,641,0,0,747,0,0,1,0,2,1,1,6,6,0,1,45,2,0,0,0,0,0,0,0,6,2,8,4,77,0,42,2,3,3,3,0,5,0,5,2,4,4,135750
77,8,4,373,1,3,3,0,4,0,3,2,2,0,0,4,4,48,51,1,0,13,13,1,4,1,197,80,302,439,1,4,1,51,78,0,163,1,0,1,0,2,1,1,8,2,0,1,25,2,0,0,0,0,0,0,0,0,2,8,4,56,0,34,2,3,3,3,1,2,4,5,2,4,4,127000
78,14,3,652,1,3,3,0,4,0,19,2,2,2,2,3,4,68,18,3,0,6,6,1,4,1,0,0,211,351,1,4,0,404,0,0,447,0,0,2,0,4,2,1,10,6,0,0,0,2,0,0,0,0,0,0,0,6,4,8,4,79,0,66,2,3,3,3,5,5,4,1,2,4,4,136500
79,8,4,612,1,3,3,0,0,0,17,2,2,0,5,4,5,13,31,1,0,13,13,1,4,2,0,0,412,381,1,2,1,478,145,0,131,0,0,1,1,2,1,1,7,6,0,2,139,2,228,0,12,0,0,0,0,7,3,8,4,66,0,52,2,3,3,3,5,5,4,5,2,4,4,110000
80,9,3,826,1,3,3,0,0,0,12,2,2,0,5,5,5,68,18,1,0,12,12,1,2,1,275,0,417,570,1,4,1,133,355,0,581,0,0,2,1,4,1,2,10,6,1,1,195,2,0,159,0,0,47,0,0,8,3,8,4,0,235,54,1,2,3,3,4,5,4,1,0,4,4,193500
81,0,4,110,1,3,3,0,2,0,11,2,2,4,2,5,4,98,48,3,0,12,12,1,2,2,54,0,351,146,1,0,1,224,0,0,189,1,0,2,0,2,1,1,7,6,0,2,111,2,0,71,0,0,0,0,0,5,0,8,4,38,206,84,1,0,1,3,2,5,4,1,0,4,4,153500
82,4,3,583,1,3,3,0,4,0,21,2,2,0,2,7,4,107,57,1,0,12,12,1,4,2,193,0,164,294,1,0,1,326,0,0,329,0,0,2,0,3,1,2,8,6,1,3,334,2,32,182,0,0,0,0,0,1,2,8,4,85,213,93,3,2,3,3,2,5,4,1,1,4,4,245000
83,4,3,410,1,0,3,0,4,0,12,2,2,0,2,4,4,60,10,1,0,8,8,1,4,1,0,0,27,43,1,2,1,46,0,0,30,0,0,1,1,3,1,1,8,6,0,2,156,2,228,0,0,0,0,0,0,9,1,0,4,87,247,60,0,3,3,3,5,5,4,5,2,4,4,126500
84,12,3,363,1,0,3,0,4,0,8,2,2,0,7,6,4,95,46,1,0,6,6,1,4,2,0,0,370,378,1,2,1,541,200,0,270,0,0,2,1,3,1,1,9,6,1,2,107,2,15,159,0,0,0,0,18,7,3,8,4,77,94,81,1,2,3,3,5,5,4,3,0,4,4,168500
85,9,3,913,1,3,3,0,0,0,15,2,2,0,5,7,4,91,42,3,0,6,6,2,4,1,0,0,97,179,1,0,1,206,32,0,628,0,0,2,1,4,1,2,11,6,1,2,157,2,20,169,0,0,0,0,0,6,0,8,4,16,136,77,1,2,3,3,5,5,4,1,2,4,4,260000
86,9,3,757,1,1,3,0,4,0,8,2,2,0,5,5,4,105,55,1,0,12,12,2,4,2,0,0,549,444,1,0,1,479,315,0,327,0,0,2,1,3,1,2,8,6,1,2,107,2,1,123,0,0,0,0,0,5,3,8,4,17,0,91,2,2,3,0,5,5,4,3,0,4,4,174000
87,1,1,86,1,3,3,0,0,0,21,2,2,4,5,5,4,109,59,1,0,12,12,2,4,2,0,0,513,415,1,0,1,461,176,0,126,0,0,2,1,2,1,2,6,6,0,2,211,2,0,87,0,0,0,0,0,8,3,6,5,46,255,95,3,2,3,0,5,5,4,5,1,4,4,164500
88,8,0,351,1,0,3,0,0,0,9,1,1,0,0,2,1,18,32,3,0,9,9,0,1,1,0,0,7,11,1,4,0,10,0,17,307,0,0,1,0,2,1,0,8,6,0,0,0,0,0,0,26,0,0,0,0,1,3,3,0,5,0,66,2,3,0,3,5,5,4,1,2,4,4,85000
89,4,3,307,1,3,3,0,4,0,5,2,2,0,2,3,4,94,45,1,0,12,12,1,4,2,360,0,383,635,1,0,1,673,0,0,766,1,0,1,0,3,1,1,7,6,0,0,0,2,0,0,0,0,0,0,0,10,1,8,4,66,0,66,2,2,3,3,2,5,4,1,2,4,4,123600
90,4,3,226,1,3,3,0,4,0,12,2,2,0,2,3,4,50,0,1,0,3,13,1,4,3,0,0,0,0,1,4,1,26,0,0,16,0,0,1,0,2,1,1,6,6,0,2,121,2,0,111,0,0,0,0,0,9,0,8,4,66,0,36,2,3,3,3,5,5,0,5,2,4,4,109900
91,4,3,358,1,3,3,0,4,0,12,2,2,0,2,4,2,61,11,3,0,6,6,1,4,1,366,0,523,145,1,4,1,167,0,0,134,0,0,1,0,2,1,1,8,6,0,2,172,2,0,0,0,0,0,0,0,3,0,8,0,92,82,47,0,3,3,3,4,5,4,1,2,4,4,98600
92,5,3,842,1,0,1,0,4,0,6,2,2,0,2,4,6,24,56,1,0,13,13,1,2,0,438,0,185,560,1,0,1,652,0,0,752,1,0,1,0,2,1,1,7,6,0,2,131,2,0,0,94,0,0,0,0,10,3,8,4,87,0,9,2,2,3,3,0,5,4,5,2,4,4,163500
